Wiek;Płeć;5 km Czas;Czas
35.0;K;1253.0;5381.0
48.0;M;1198.0;5381.0
40.0;M;1244.0;5382.0
30.0;M;1271.0;5384.0
34.0;M;1197.0;5384.0
44.0;K;1216.0;5384.0
45.0;M;1245.0;5384.0
46.0;M;1234.0;5385.0
38.0;M;1267.0;5388.0
36.0;M;1243.0;5390.0
23.0;M;1182.0;5390.0
31.0;M;1252.0;5390.0
43.0;M;1285.0;5391.0
30.0;M;1296.0;5392.0
31.0;M;1236.0;5393.0
52.0;M;1249.0;5399.0
41.0;M;1258.0;5399.0
37.0;M;1268.0;5399.0
42.0;M;1270.0;5399.0
24.0;M;1279.0;5402.0
26.0;K;1192.0;5402.0
27.0;M;1218.0;5403.0
31.0;M;1259.0;5404.0
28.0;M;1267.0;5406.0
35.0;M;1240.0;5406.0
42.0;M;1250.0;5407.0
36.0;M;1237.0;5409.0
45.0;M;1273.0;5410.0
33.0;M;1242.0;5412.0
26.0;M;1212.0;5414.0
42.0;M;1180.0;5417.0
32.0;M;1307.0;5418.0
30.0;M;1206.0;5419.0
43.0;M;1234.0;5420.0
42.0;M;1315.0;5420.0
44.0;M;1283.0;5420.0
44.0;M;1252.0;5421.0
53.0;M;1304.0;5423.0
41.0;M;1298.0;5423.0
40.0;M;1273.0;5423.0
34.0;M;;5424.0
52.0;M;1221.0;5424.0
50.0;M;1265.0;5427.0
29.0;M;;5427.0
45.0;M;1248.0;5430.0
40.0;M;1274.0;5432.0
30.0;M;1272.0;5433.0
38.0;M;1295.0;5437.0
45.0;M;1251.0;5437.0
53.0;M;1229.0;5438.0
53.0;M;1264.0;5439.0
48.0;M;1285.0;5439.0
45.0;M;1241.0;5443.0
23.0;M;1395.0;5445.0
56.0;K;1240.0;5448.0
45.0;M;1235.0;5448.0
37.0;M;1209.0;5449.0
37.0;M;1284.0;5449.0
29.0;M;1203.0;5450.0
36.0;M;1217.0;5453.0
38.0;M;1283.0;5454.0
50.0;M;1267.0;5456.0
45.0;M;1268.0;5457.0
31.0;M;1220.0;5459.0
48.0;M;1267.0;5459.0
35.0;M;1226.0;5461.0
49.0;M;1176.0;5462.0
34.0;M;1240.0;5463.0
40.0;M;1237.0;5463.0
30.0;M;1253.0;5467.0
31.0;M;1184.0;5469.0
41.0;M;1259.0;5472.0
27.0;M;1240.0;5472.0
37.0;M;1278.0;5473.0
40.0;M;1233.0;5473.0
38.0;M;1266.0;5474.0
44.0;M;1260.0;5476.0
31.0;M;1266.0;5478.0
47.0;K;1281.0;5478.0
38.0;M;1160.0;5479.0
38.0;M;1281.0;5479.0
34.0;M;1247.0;5480.0
40.0;M;1258.0;5483.0
39.0;M;1228.0;5487.0
54.0;K;1281.0;5487.0
34.0;M;1284.0;5488.0
32.0;M;1268.0;5488.0
23.0;M;1219.0;5490.0
49.0;M;1292.0;5495.0
31.0;M;1257.0;5496.0
49.0;M;1342.0;5502.0
35.0;M;1275.0;5503.0
36.0;M;1327.0;5504.0
36.0;K;1273.0;5506.0
51.0;M;1248.0;5506.0
42.0;M;1294.0;5507.0
48.0;M;1279.0;5511.0
45.0;M;1289.0;5511.0
45.0;M;1246.0;5512.0
38.0;M;1292.0;5516.0
34.0;K;1282.0;5518.0
42.0;K;1228.0;5518.0
55.0;M;1231.0;5518.0
26.0;K;1240.0;5520.0
39.0;M;1304.0;5523.0
27.0;K;1293.0;5524.0
31.0;M;1261.0;5530.0
34.0;M;1280.0;5532.0
26.0;M;1245.0;5532.0
31.0;M;1336.0;5533.0
51.0;M;1286.0;5534.0
45.0;M;1310.0;5534.0
51.0;M;1245.0;5535.0
45.0;M;1277.0;5535.0
22.0;M;1252.0;5535.0
40.0;M;1247.0;5536.0
42.0;M;;5540.0
38.0;M;1264.0;5541.0
61.0;M;1249.0;5541.0
27.0;M;1353.0;5541.0
48.0;M;1310.0;5542.0
28.0;M;1164.0;5543.0
39.0;M;1355.0;5544.0
39.0;M;1287.0;5547.0
30.0;M;1313.0;5548.0
36.0;M;1258.0;5548.0
51.0;M;1286.0;5549.0
38.0;M;1279.0;5552.0
40.0;M;1337.0;5554.0
38.0;M;1256.0;5559.0
33.0;M;1241.0;5561.0
43.0;M;1284.0;5565.0
40.0;K;1284.0;5566.0
33.0;K;1241.0;5566.0
42.0;M;1243.0;5566.0
49.0;M;1256.0;5567.0
37.0;M;1263.0;5568.0
39.0;K;1289.0;5569.0
32.0;K;1251.0;5569.0
19.0;M;1387.0;5572.0
34.0;M;1263.0;5572.0
46.0;M;1329.0;5572.0
32.0;M;1242.0;5573.0
40.0;M;1321.0;5574.0
49.0;M;1286.0;5577.0
42.0;M;1354.0;5577.0
37.0;M;1299.0;5578.0
32.0;M;1298.0;5578.0
51.0;M;1288.0;5578.0
40.0;M;1280.0;5580.0
50.0;M;1281.0;5585.0
39.0;M;1282.0;5585.0
23.0;K;1278.0;5587.0
51.0;M;;5588.0
48.0;M;1291.0;5589.0
35.0;M;1313.0;5589.0
38.0;M;;5589.0
42.0;M;1270.0;5590.0
47.0;M;1319.0;5591.0
39.0;M;1320.0;5595.0
44.0;M;1313.0;5596.0
51.0;M;1317.0;5597.0
31.0;M;1273.0;5597.0
26.0;K;1255.0;5597.0
25.0;M;1307.0;5599.0
46.0;M;1289.0;5602.0
33.0;M;1332.0;5603.0
32.0;K;1332.0;5605.0
40.0;M;1304.0;5611.0
29.0;M;1364.0;5611.0
33.0;M;1301.0;5611.0
44.0;M;1221.0;5613.0
39.0;M;1234.0;5613.0
32.0;M;1318.0;5614.0
32.0;M;1291.0;5614.0
44.0;M;1373.0;5616.0
47.0;M;1239.0;5616.0
39.0;M;1321.0;5617.0
48.0;M;1242.0;5617.0
28.0;M;1276.0;5619.0
26.0;M;1312.0;5620.0
27.0;K;1276.0;5620.0
50.0;M;1322.0;5621.0
42.0;M;1294.0;5622.0
32.0;M;1278.0;5622.0
45.0;M;1336.0;5623.0
27.0;M;1277.0;5624.0
35.0;K;1283.0;5624.0
63.0;M;1305.0;5624.0
25.0;M;1289.0;5625.0
49.0;M;1252.0;5625.0
23.0;M;1295.0;5626.0
52.0;M;1299.0;5627.0
45.0;M;1261.0;5630.0
26.0;M;1182.0;5631.0
46.0;M;1309.0;5632.0
57.0;M;1243.0;5633.0
46.0;M;1383.0;5634.0
33.0;M;;5634.0
29.0;M;1252.0;5635.0
33.0;M;1314.0;5635.0
22.0;K;1315.0;5635.0
33.0;M;1318.0;5636.0
41.0;M;1350.0;5637.0
33.0;M;1322.0;5637.0
47.0;M;1321.0;5641.0
54.0;M;1345.0;5642.0
48.0;M;1282.0;5642.0
28.0;M;1265.0;5642.0
56.0;M;1327.0;5644.0
42.0;M;1301.0;5646.0
39.0;M;1298.0;5646.0
36.0;M;1336.0;5646.0
52.0;M;1294.0;5647.0
52.0;M;1282.0;5648.0
34.0;M;1279.0;5650.0
39.0;M;1296.0;5650.0
51.0;M;1312.0;5651.0
27.0;M;1265.0;5653.0
35.0;K;1300.0;5653.0
30.0;M;1292.0;5653.0
38.0;M;1322.0;5654.0
31.0;M;1318.0;5655.0
49.0;M;1308.0;5663.0
43.0;M;1269.0;5663.0
43.0;M;1295.0;5664.0
43.0;M;1362.0;5665.0
47.0;M;1296.0;5665.0
31.0;M;1308.0;5666.0
25.0;M;1334.0;5667.0
28.0;M;1311.0;5668.0
30.0;M;1326.0;5668.0
27.0;K;1290.0;5669.0
;M;1357.0;5670.0
27.0;M;1339.0;5671.0
41.0;M;1317.0;5672.0
49.0;M;1324.0;5675.0
52.0;M;1292.0;5676.0
;M;1258.0;5679.0
36.0;M;1256.0;5680.0
60.0;M;1310.0;5680.0
35.0;M;1330.0;5680.0
49.0;M;1350.0;5680.0
44.0;M;1319.0;5681.0
36.0;M;1357.0;5682.0
37.0;M;1355.0;5682.0
36.0;M;1279.0;5683.0
45.0;M;1307.0;5684.0
34.0;M;1305.0;5684.0
45.0;K;1243.0;5685.0
51.0;M;1357.0;5685.0
30.0;M;1308.0;5686.0
29.0;M;1337.0;5688.0
42.0;K;1312.0;5689.0
35.0;M;1377.0;5689.0
37.0;M;1191.0;5690.0
44.0;M;1314.0;5692.0
31.0;M;1288.0;5693.0
41.0;M;1246.0;5694.0
47.0;M;1357.0;5695.0
45.0;M;1235.0;5695.0
49.0;M;1318.0;5696.0
48.0;M;1357.0;5696.0
40.0;M;1342.0;5698.0
19.0;M;1352.0;5701.0
36.0;M;1298.0;5703.0
48.0;M;1329.0;5703.0
31.0;K;1331.0;5706.0
41.0;M;1330.0;5707.0
43.0;M;1294.0;5708.0
53.0;M;1303.0;5708.0
36.0;M;1321.0;5709.0
31.0;M;1392.0;5709.0
46.0;M;1309.0;5709.0
40.0;M;1299.0;5709.0
31.0;M;1281.0;5710.0
36.0;M;1326.0;5711.0
32.0;K;1308.0;5711.0
31.0;M;1281.0;5713.0
36.0;M;1321.0;5716.0
23.0;M;1357.0;5717.0
51.0;M;1318.0;5718.0
38.0;M;1301.0;5719.0
30.0;M;1348.0;5721.0
37.0;M;1372.0;5722.0
51.0;M;1284.0;5722.0
44.0;K;1357.0;5723.0
44.0;M;1215.0;5724.0
56.0;M;1345.0;5724.0
46.0;M;1300.0;5726.0
29.0;M;1309.0;5727.0
27.0;M;1329.0;5729.0
30.0;M;1364.0;5729.0
36.0;M;1348.0;5730.0
41.0;M;1375.0;5730.0
34.0;M;1382.0;5730.0
36.0;M;1386.0;5730.0
44.0;M;1370.0;5732.0
42.0;M;1333.0;5733.0
41.0;M;1309.0;5733.0
20.0;K;1250.0;5733.0
33.0;M;1315.0;5733.0
30.0;M;1339.0;5734.0
41.0;M;1300.0;5735.0
42.0;M;1360.0;5735.0
38.0;M;1328.0;5736.0
31.0;M;1370.0;5738.0
22.0;M;1235.0;5739.0
43.0;M;1232.0;5739.0
37.0;M;1299.0;5741.0
34.0;M;1343.0;5743.0
35.0;K;1286.0;5744.0
26.0;M;1393.0;5748.0
26.0;M;1389.0;5749.0
34.0;M;1366.0;5751.0
20.0;M;1299.0;5751.0
49.0;M;1328.0;5752.0
32.0;M;1315.0;5752.0
24.0;M;1413.0;5753.0
42.0;M;1312.0;5755.0
40.0;M;1354.0;5755.0
;M;1398.0;5757.0
43.0;M;1318.0;5757.0
36.0;M;1334.0;5762.0
38.0;M;1253.0;5765.0
48.0;K;1337.0;5765.0
